deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
chunk_086.wav,3.3759716,4.024672,3.7296937,3.599243,3.6820288,NISQAv2
chunk_087.wav,2.4733088,3.9086888,2.5102522,2.9078326,3.74244,NISQAv2
chunk_088.wav,3.1338515,4.200558,2.6595256,3.6539564,3.9520752,NISQAv2
chunk_089.wav,2.5595434,4.008787,2.6302302,2.750753,3.5916219,NISQAv2
chunk_090.wav,2.9050474,4.004476,2.921775,2.930045,3.714042,NISQAv2
chunk_091.wav,2.7728417,4.0022926,2.4481347,3.0013177,3.8680532,NISQAv2
chunk_092.wav,2.5193026,4.1727595,2.0112689,3.5451071,3.8729491,NISQAv2
chunk_093.wav,1.913896,3.7430377,1.6100395,2.8061173,3.557777,NISQAv2
chunk_094.wav,3.620531,4.2608294,3.9966905,3.4083328,3.8916094,NISQAv2
chunk_095.wav,3.7311254,4.2007976,4.003691,3.5593183,4.140619,NISQAv2
chunk_096.wav,3.2453096,4.0949993,3.7877383,3.2771585,3.885526,NISQAv2
chunk_097.wav,3.6459196,4.110275,3.6089652,3.5027025,3.965349,NISQAv2
chunk_098.wav,3.1484187,3.89093,3.5977972,3.2655578,3.8489869,NISQAv2
chunk_099.wav,4.1857595,4.33745,4.0131035,4.0652165,4.2757897,NISQAv2
chunk_100.wav,3.4192922,4.0530596,3.608929,3.3727725,3.8363583,NISQAv2
chunk_101.wav,3.845728,3.9918094,4.168679,3.7169921,4.025716,NISQAv2
chunk_102.wav,3.6497881,4.221337,3.9530756,3.495499,3.9441135,NISQAv2
chunk_103.wav,3.3814828,4.254078,3.6092901,3.4734395,4.028788,NISQAv2
chunk_104.wav,3.7319882,4.35918,3.9560468,3.7682736,4.010157,NISQAv2
chunk_105.wav,3.9092345,4.374191,4.0452414,3.777004,4.134231,NISQAv2
chunk_106.wav,3.5753458,4.2477565,4.11307,3.658579,3.9404798,NISQAv2
chunk_107.wav,2.907024,4.303649,3.15448,3.1262226,3.8703341,NISQAv2
chunk_108.wav,3.1150346,4.353314,3.941781,3.3559241,3.8937764,NISQAv2
